xpath,scope,data_type,unit_as_used,unit_in_cura_code,cura_internal_key,occurrences,n_files,coverage_pct,value_range_or_enum,category,ofd_equivalent,orca_prusa_equivalent,harvest_candidate,notes
fdmmaterial/settings//setting[@key='heated bed temperature'],machine(341)+root(253)+machine/hotend(167),float,degC,"mapped -> default_material_bed_temperature (unit degC, fdmprinter default 60)",default_material_bed_temperature,761,266,94.7,0..140,print_setting,slicer_settings.*.bed_temp,hot_plate_temp / bed_temperature,n,
fdmmaterial/settings//setting[@key='standby temperature'],root(257)+machine/hotend(109)+machine(60),float,degC,"mapped -> material_standby_temperature (unit degC, fdmprinter default 150)",material_standby_temperature,426,259,92.2,0..420,print_setting,-,idle_temperature,n,Dual-extrusion idle temp.
fdmmaterial/metadata/adhesion_info,root,str,,no conversion (stored as str),,258,258,91.8,"47 distinct; e.g. Use glue., Print on bare glass. Use tape for cold build plates., Use g",material_property,-,-,y,Free-text first-layer adhesion guidance (47 distinct strings). No equivalent in OFD or Orca/Prusa.
fdmmaterial/metadata/description,root,str,,no conversion (stored as str),,258,258,91.8,"105 distinct; e.g. Fast, safe and reliable printing. PLA is ideal for the fast and reliab",metadata,-,filament_notes,n,"Free text, marketing register."
fdmmaterial/settings//setting[@key='print cooling'],machine/hotend(349)+machine(298)+root(131),float,%,"mapped -> cool_fan_speed (unit %, fdmprinter default 100)",cool_fan_speed,778,213,75.8,0..100,print_setting,-,fan_max_speed / max_fan_speed,n,
fdmmaterial/settings//setting[@key='retraction amount'],machine/hotend(642)+machine(134)+root(104),float,mm,"mapped -> retraction_amount (unit mm, fdmprinter default 6.5)",retraction_amount,880,209,74.4,0..10,print_setting,-,filament_retraction_length / filament_retract_length,n,
fdmmaterial/settings/machine,root,container,,no conversion (stored as str),,821,185,65.8,,override_scope,-,compatible_printers,n,
fdmmaterial/settings/machine/machine_identifier,root,container,,no conversion (stored as str),,1454,185,65.8,,override_scope,-,compatible_printers,n,
fdmmaterial/settings/machine/machine_identifier/@manufacturer,root,str,,no conversion (stored as str),,1454,185,65.8,"17 distinct; e.g. Ultimaker B.V., eMotionTech, Creality3D",override_scope,-,compatible_printers,n,Optional; falls back to the printer definition's manufacturer.
fdmmaterial/settings/machine/machine_identifier/@product,root,str,,no conversion (stored as str),,1454,185,65.8,"71 distinct; e.g. Ultimaker Factor 4, Ultimaker Factor 4+, Ultimaker S3",override_scope,-,compatible_printers,y,"Human-readable printer NAME resolved to definition ids via FormatMaps.getProductIdMap(), else getPossibleDefinitionIDsFromName() heuristics."
fdmmaterial/settings//setting[@key='hardware compatible'],machine/hotend(2358)+machine(109)+root(5),enum,-,"unmapped -> bool via _parseCompatibleValue: value in {yes,unknown}",(compatible flag),2472,172,61.2,yes|no,compatibility,slicer_ids / min_nozzle_diameter (partial),compatible_printers / compatible_printers_condition,y,"yes|no|unknown. Parser: value in {yes,unknown} -> True, so 'unknown' means COMPATIBLE."
fdmmaterial/settings/machine/hotend,root,container,,no conversion (stored as str),,2905,168,59.8,,override_scope,-,compatible_printers,n,
fdmmaterial/settings/machine/hotend/@id,root,str,,no conversion (stored as str),,2905,168,59.8,"51 distinct; e.g. AA 0.4, AA 0.8, AA 0.25",override_scope,-,compatible_printers,y,"Free-text print-core / nozzle NAME (not an id). 51 distinct values mixing core codes (AA/BB/CC/DD 0.4) with bare diameters ('0.4 mm','0.4mm'). AA/BB/CC/DD all exist at 0.4 mm, so core identity is NOT reducible to nozzle diameter."
fdmmaterial/properties/weight,root,float,g,no conversion (stored as str),,167,167,59.4,500..2300,material_property,sizes.json filament_weight,filament_spool_weight (DIFFERENT: empty-spool mass),n,Net filament mass in g. No reader in the Cura tree; passthrough metadata only.
fdmmaterial/settings//setting[@key='build volume temperature'],machine(187)+root(150)+machine/hotend(20),float,degC,"mapped -> build_volume_temperature (unit degC, fdmprinter default 0)",build_volume_temperature,357,156,55.5,0..107,print_setting,chamber_temperature,chamber_temperature,n,
fdmmaterial/settings//setting[@key='adhesion tendency'],root(132)+machine/hotend(14),float,(none declared),"mapped -> material_adhesion_tendency (unit (none declared), fdmprinter default 10)",material_adhesion_tendency,146,132,47.0,0..4,material_property,-,"filament_adhesiveness_category (Orca only, different scale)",y,Integer index 0-4 observed. Ultimaker-only ordinal for bed-adhesion propensity.
fdmmaterial/metadata/name/label,root,str,,no conversion (stored as str),,130,130,46.3,"122 distinct; e.g. PC, PETG, ABS",identity,filament.json name,name / filament_settings_id,n,SKU-precise product name. When absent Cura synthesises '<color> <material>'.
fdmmaterial/settings//setting[@key='surface energy'],root(124),float,%,"mapped -> material_surface_energy (unit %, fdmprinter default 100)",material_surface_energy,124,124,44.1,65..100,material_property,-,-,y,"Percent, 65/70/100 observed. No equivalent in OFD or Orca/Prusa."
fdmmaterial/settings//setting[@key='retraction speed'],machine/hotend(98)+root(82)+machine(44),float,mm/s,"mapped -> retraction_speed (unit mm/s, fdmprinter default 25)",retraction_speed,224,116,41.3,5..150,print_setting,-,filament_retraction_speed / filament_retract_speed,n,
fdmmaterial/metadata/cura:pva_compatible,root,bool,,no conversion (stored as str),,104,104,37.0,True|False,compatibility,-,filament_soluble (different semantics),n,No reader in the Cura tree at rev 63f92d4; serialiser only.
fdmmaterial/metadata/cura:breakaway_compatible,root,bool,,no conversion (stored as str),,103,103,36.7,True|False,compatibility,-,-,n,No reader in the Cura tree at rev 63f92d4; serialiser only.
fdmmaterial/settings//setting[@key='anti ooze retract position'],machine(123)+root(103),float,mm,"mapped -> material_anti_ooze_retracted_position (unit mm, fdmprinter default -4)",material_anti_ooze_retracted_position,226,103,36.7,-20..0,machine_setting,-,-,n,Material-station kinematics.
fdmmaterial/settings//setting[@key='anti ooze retract speed'],root(103),float,mm/s,"mapped -> material_anti_ooze_retraction_speed (unit mm/s, fdmprinter default 5)",material_anti_ooze_retraction_speed,103,103,36.7,1..50,machine_setting,-,-,n,Material-station kinematics.
fdmmaterial/settings//setting[@key='break position'],root(103)+machine(6),float,mm,"mapped -> material_break_retracted_position (unit mm, fdmprinter default -50)",material_break_retracted_position,109,103,36.7,-100..-20,machine_setting,-,-,n,Material-station kinematics.
fdmmaterial/settings//setting[@key='break preparation position'],machine(111)+root(103),float,mm,"mapped -> material_break_preparation_retracted_position (unit mm, fdmprinter default -16)",material_break_preparation_retracted_position,214,103,36.7,-20..0,machine_setting,-,-,n,Material-station kinematics.
fdmmaterial/settings//setting[@key='break preparation speed'],root(103),float,mm/s,"mapped -> material_break_preparation_speed (unit mm/s, fdmprinter default 2)",material_break_preparation_speed,103,103,36.7,2..50,machine_setting,-,-,n,Material-station kinematics.
fdmmaterial/settings//setting[@key='break preparation temperature'],root(103)+machine(10),float,degC,"mapped -> material_break_preparation_temperature (unit degC, fdmprinter default 50)",material_break_preparation_temperature,113,103,36.7,210..320,material_property,-,-,y,degC the filament is pre-conditioned to before the break move.
fdmmaterial/settings//setting[@key='break speed'],root(103),float,mm/s,"mapped -> material_break_speed (unit mm/s, fdmprinter default 25)",material_break_speed,103,103,36.7,25..50,machine_setting,-,filament_cooling_final_speed (loose),n,Material-station kinematics.
fdmmaterial/settings//setting[@key='break temperature'],root(103),float,degC,"mapped -> material_break_temperature (unit degC, fdmprinter default 50)",material_break_temperature,103,103,36.7,60..280,material_property,-,-,y,degC at which the filament is snapped for material-station unload; a clean-fracture temperature.
fdmmaterial/settings//setting[@key='maximum park duration'],root(103),float,(none declared; s),"mapped -> material_maximum_park_duration (unit (none declared; s), fdmprinter default 300)",material_maximum_park_duration,103,103,36.7,7200..216000,machine_setting,-,-,n,Seconds a loaded filament may sit hot; 7200 or 216000.
fdmmaterial/settings//setting[@key='no load move factor'],machine(165)+machine/hotend(109)+root(103),float,(none declared; ratio),"mapped -> material_no_load_move_factor (unit (none declared; ratio), fdmprinter default 0.940860215)",material_no_load_move_factor,377,103,36.7,0.91..1.067,machine_setting,-,-,n,Feeder slip calibration ratio.
fdmmaterial/settings//setting[@key='relative extrusion'],root(103),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),103,103,36.7,1..1,machine_setting,-,-,n,"keep_serialized: stored verbatim, never used by Cura."
fdmmaterial/settings//setting[@key='retract compensation'],root(103),float,-,"NOT HANDLED -> dropped, Logger warns 'Unsupported material setting'",,103,103,36.7,0..0,UNPARSED,-,-,n,IN 103 FILES (36.7%) BUT IN NO PARSER MAP -> Cura logs 'Unsupported material setting' and DROPS it.
fdmmaterial/metadata/instruction_link,root,str,,no conversion (stored as str),,102,102,36.3,"33 distinct; e.g. https://support.ultimaker.com/s/article/1667412428052, https://support",metadata,data_sheet_url (partial),-,n,URL to vendor print instructions. No reader anywhere in the Cura tree at rev 63f92d4.
fdmmaterial/settings//setting[@key='flush purge length'],root(101),float,(none declared),"mapped -> material_flush_purge_length (unit (none declared), fdmprinter default 60)",material_flush_purge_length,101,101,35.9,60..60,machine_setting,-,-,n,
fdmmaterial/settings//cura:setting[@key='material_shrinkage_percentage'],machine(215)+machine/hotend(65)+root(31),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_shrinkage_percentage,311,98,34.9,100..100.7,material_property,-,filament_shrink / shrink_ratio,n,"Percent, 100 = no shrink. Consumed by BuildVolume/ConvexHullDecorator. Note the um-namespace 'shrinkage percentage' key exists in the parser's keep_serialized set but is used by 0 files."
fdmmaterial/settings//setting[@key='dwell time before break preparation move'],root(98),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),98,98,34.9,0..4,machine_setting,-,-,n,keep_serialized.
fdmmaterial/settings//setting[@key='pressure release dwell time'],root(98),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),98,98,34.9,25..50,machine_setting,-,-,n,keep_serialized.
fdmmaterial/settings//setting[@key='end of filament purge volume'],root(96),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),96,96,34.2,0..0,machine_setting,-,-,n,keep_serialized.
fdmmaterial/settings//setting[@key='end of print purge volume'],root(96),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),96,96,34.2,0..0,machine_setting,-,-,n,keep_serialized.
fdmmaterial/settings//cura:setting[@key='cool_min_layer_time'],machine/hotend(493)+root(1),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",cool_min_layer_time,494,82,29.2,3..10,print_setting,-,slow_down_layer_time,n,
fdmmaterial/settings//cura:setting[@key='material_shrinkage_percentage_z'],machine(80)+root(7),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_shrinkage_percentage_z,87,48,17.1,100..126,material_property,-,filament_shrinkage_compensation_z,n,
fdmmaterial/settings//cura:setting[@key='material_crystallinity'],root(33)+machine/hotend(26),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_crystallinity,59,46,16.4,true,machine_setting,-,-,n,"Boolean 'true' only, in 46 files. Sits with the material-station break settings and governs filament-break behaviour on unload. NOT a morphology flag: never written false, so it cannot express amorphousness."
fdmmaterial/settings//cura:setting[@key='material_pressure_advance_factor'],machine(23)+machine/hotend(10),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_pressure_advance_factor,33,29,10.3,0..0.75,print_setting,-,pressure_advance,n,
fdmmaterial/settings//cura:setting[@key='cool_fan_speed_max'],machine(31)+machine/hotend(22)+root(21),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",cool_fan_speed_max,74,21,7.5,15..100,print_setting,-,fan_max_speed,n,
fdmmaterial/metadata/reference_material_id,root,str,,no conversion (stored as str),,19,19,6.8,"19 distinct; e.g. ultrafuse-316l, sebs-95a, polymax_pc",identity,-,inherits / renamed_from (loose),n,String pointer to a 'reference' material. No reader in the Cura tree; pure lineage annotation.
fdmmaterial/settings//cura:setting[@key='adhesion_type'],machine/hotend(16)+root(2),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",adhesion_type,18,18,6.4,brim,print_setting,-,-,n,Enum: brim.
fdmmaterial/settings//cura:setting[@key='support_structure'],machine/hotend(18),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",support_structure,18,18,6.4,normal|tree,print_setting,-,-,n,Enum: normal|tree.
fdmmaterial/settings//cura:setting[@key='retraction_combing'],machine(16),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",retraction_combing,16,16,5.7,all,print_setting,-,-,n,Enum: all.
fdmmaterial/settings//setting[@key='processing temperature graph'],machine(13),str,"[[mm3/s,degC]]","mapped -> material_flow_temp_graph (unit [[mm3/s,degC]], fdmprinter default [[3.5,200],[7.0,240]])",material_flow_temp_graph,13,13,4.6,<2 points>,material_property,-,material_flow_temp_graph (Orca has adopted it),y,Flow(mm3/s) -> temperature(degC) points. The only true constitutive relation in the format.
fdmmaterial/settings/machine/setting/point,root,container,,no conversion (stored as str),,26,13,4.6,,override_scope,-,compatible_printers,n,
fdmmaterial/settings/machine/setting/point/@flow,root,float,mm3/s,no conversion (stored as str),,26,13,4.6,2..10,material_property,-,compatible_printers,n,"flow in mm3/s, temperature in degC; parsed to float pairs -> str([[f,t],...])."
fdmmaterial/settings/machine/setting/point/@temperature,root,float,degC,no conversion (stored as str),,26,13,4.6,180..230,material_property,-,compatible_printers,n,"flow in mm3/s, temperature in degC; parsed to float pairs -> str([[f,t],...])."
fdmmaterial/settings//cura:setting[@key='material_is_support_material'],root(12),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_is_support_material,12,12,4.3,true|True,compatibility,-,filament_is_support,n,Values 'true'/'True' - case inconsistent.
fdmmaterial/settings//setting[@key='flow sensor detection margin'],machine(12),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),12,12,4.3,0.2..0.2,machine_setting,-,-,n,keep_serialized.
fdmmaterial/metadata/abstract_color,root,str,,no conversion (stored as str),,10,10,3.6,true,metadata,-,-,n,Boolean; filters the material out on machines whose definition lacks supports_abstract_color.
fdmmaterial/settings//cura:setting[@key='cool_min_temperature'],machine(14)+root(2),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",cool_min_temperature,16,7,2.5,210..245,print_setting,-,-,n,
fdmmaterial/settings//cura:setting[@key='material_final_print_temperature'],machine(17)+root(3),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_final_print_temperature,20,7,2.5,205..250,print_setting,-,-,n,
fdmmaterial/settings//cura:setting[@key='material_flow'],root(5)+machine(5)+machine/hotend(4),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_flow,14,7,2.5,95..100,print_setting,-,filament_flow_ratio / extrusion_multiplier,n,Percent.
fdmmaterial/settings//cura:setting[@key='material_initial_print_temperature'],machine(17)+root(3),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_initial_print_temperature,20,7,2.5,205..250,print_setting,-,-,n,
fdmmaterial/settings//cura:setting[@key='material_bed_temperature_layer_0'],machine(14),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_bed_temperature_layer_0,14,6,2.1,45..95,print_setting,slicer_settings.*.first_layer_bed_temp,bed_temperature_initial_layer / first_layer_bed_temperature,n,
fdmmaterial/settings//cura:setting[@key='material_print_temperature_layer_0'],machine(12)+root(1),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_print_temperature_layer_0,13,6,2.1,220..255,print_setting,slicer_settings.*.first_layer_nozzle_temp,nozzle_temperature_initial_layer / first_layer_temperature,n,
fdmmaterial/settings//setting[@key='different material purge volume'],machine(10),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),10,5,1.8,204.16..204.16,machine_setting,-,filament_minimal_purge_on_wipe_tower (loose),n,keep_serialized.
fdmmaterial/settings//setting[@key='end of filament purge length'],root(5),float,(none declared),"mapped -> material_end_of_filament_purge_length (unit (none declared), fdmprinter default 20)",material_end_of_filament_purge_length,5,5,1.8,20..20,machine_setting,-,-,n,
fdmmaterial/settings//setting[@key='end of filament purge speed'],root(5),float,(none declared),"mapped -> material_end_of_filament_purge_speed (unit (none declared), fdmprinter default 0.5)",material_end_of_filament_purge_speed,5,5,1.8,0.5..0.5,machine_setting,-,-,n,
fdmmaterial/settings//setting[@key='flush purge speed'],root(5),float,(none declared),"mapped -> material_flush_purge_speed (unit (none declared), fdmprinter default 0.5)",material_flush_purge_speed,5,5,1.8,0.5..0.5,machine_setting,-,-,n,
fdmmaterial/settings//setting[@key='purge speed coefficient'],machine(10),float,-,"NOT HANDLED -> dropped, Logger warns 'Unsupported material setting'",,10,5,1.8,40..40,UNPARSED,-,-,n,IN 5 FILES BUT IN NO PARSER MAP -> dropped by Cura with a warning.
fdmmaterial/settings//setting[@key='same material purge volume'],machine(10),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),10,5,1.8,51.04..51.04,machine_setting,-,-,n,keep_serialized.
fdmmaterial/metadata/author,root,container,,no conversion (stored as str),,4,4,1.4,(values redacted: personal/contact data),provenance,brand.json (website/origin),-,n,Nested block: organization/contact/email/phone/address.
fdmmaterial/metadata/author/contact,root,str,,no conversion (stored as str),,4,4,1.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/email,root,str,,no conversion (stored as str),,4,4,1.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/organization,root,str,,no conversion (stored as str),,4,4,1.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/settings//cura:setting[@key='prime_tower_enable'],machine(2)+root(2),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",prime_tower_enable,4,3,1.1,=extruder_nr==support_extruder_nr or extruder_nr==raft_base_extruder_nr or extruder_nr==raft_interface_extruder_nr or extruder_nr==raft_surface_extruder_nr,print_setting,-,-,n,Value is a Cura setting FORMULA (leading '=').
fdmmaterial/settings//cura:setting[@key='raft_airgap'],root(3),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",raft_airgap,3,3,1.1,0..0,print_setting,-,-,n,
fdmmaterial/settings//cura:setting[@key='support_conical_enabled'],machine(2)+root(2),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",support_conical_enabled,4,3,1.1,False|True,print_setting,-,-,n,
fdmmaterial/settings//cura:setting[@key='cool_fan_speed'],machine/hotend(4),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",cool_fan_speed,4,2,0.7,50..100,print_setting,-,fan_max_speed,n,
fdmmaterial/settings//cura:setting[@key='cool_fan_speed_min'],machine/hotend(4),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",cool_fan_speed_min,4,2,0.7,30..80,print_setting,-,fan_min_speed,n,
fdmmaterial/metadata/EAN,root,str,,no conversion (stored as str),,1,1,0.4,87 10400 31118 0,identity,sizes.json gtin / ean,-,n,Single file only (ultimaker_pla_silver-metallic).
fdmmaterial/metadata/author/address,root,container,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/address/city,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/address/country,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/address/region,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/address/street,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/address/zip,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/author/phone,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,brand.json,-,n,Sub-element of <author>.
fdmmaterial/metadata/supplier,root,container,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,"Nested block, same shape as author. 1 file."
fdmmaterial/metadata/supplier/address,root,container,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/address/city,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/address/country,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/address/region,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/address/street,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/address/zip,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/contact,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/email,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/organization,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/metadata/supplier/phone,root,str,,no conversion (stored as str),,1,1,0.4,(values redacted: personal/contact data),provenance,store.json,-,n,Sub-element of <supplier>.
fdmmaterial/settings//cura:setting[@key='cool_fan_speed_0'],root(1),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",cool_fan_speed_0,1,1,0.4,0..0,print_setting,-,-,n,
fdmmaterial/settings//cura:setting[@key='material_alternate_walls'],root(1),str,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_alternate_walls,1,1,0.4,yes,print_setting,-,-,n,1 file.
fdmmaterial/settings//cura:setting[@key='material_shrinkage_percentage_xy'],root(1),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",material_shrinkage_percentage_xy,1,1,0.4,120..120,material_property,-,filament_shrinkage_compensation_xy,n,1 file.
fdmmaterial/settings//cura:setting[@key='retraction_speed'],root(1),float,(per fdmprinter.def.json),"cura: namespace -> key used verbatim; 'yes'/'no' coerced to bool, else raw str",retraction_speed,1,1,0.4,10..10,print_setting,-,filament_retraction_speed,n,
fdmmaterial/settings//setting[@key='tainted print core max temperature'],root(1),float,-,"keep_serialized -> stored verbatim, never read by Cura",(reserialize_settings),1,1,0.4,250..250,machine_setting,-,-,n,keep_serialized. 1 file.
fdmmaterial/inherits,(unused),-,-,supported by parser,,0,0,0.0,-,override_scope,-,-,n,Parser resolves <inherits> recursively (_resolveInheritance/_mergeXML) but deserializeMetadata() has a TODO saying it is unimplemented there. Used by 0 of 281 files.
fdmmaterial/settings//setting[@key='hardware recommended'],(unused),-,-,unmapped/compat in XmlMaterialProfile,,0,0,0.0,-,compatibility,-,-,n,"Supported by the parser, used by 0 of 281 files. Buildplate-scope only; 0 occurrences in the repo."
fdmmaterial/settings//setting[@key='material bed adhesion temperature'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='maximum heated bed temperature'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
